"PARID","LUC","LUC_desc","situs","NAME","year","if1991","yearGroup"
"7201 00380000","R-10","R - Single Family/Cabin","202  BETSY ROSS LN","Franklin",2006,"1991 or Later","2001-2010"
"7201 00390000","R-10","R - Single Family/Cabin","204  BETSY ROSS LN","Franklin",2011,"1991 or Later","2011-2022"
"7201 00400000","R-10","R - Single Family/Cabin","206  BETSY ROSS LN","Franklin",2005,"1991 or Later","2001-2010"
"7201 00410000","R-10","R - Single Family/Cabin","208  BETSY ROSS LN","Franklin",2005,"1991 or Later","2001-2010"
"7201 00420000","R-10","R - Single Family/Cabin","107  JEFFERSON BLVD","Franklin",2005,"1991 or Later","2001-2010"
"7201 00430000","R-10","R - Single Family/Cabin","103  JEFFERSON BLVD","Franklin",2006,"1991 or Later","2001-2010"
"7201 00440000","R-10","R - Single Family/Cabin","101  JEFFERSON BLVD","Franklin",2006,"1991 or Later","2001-2010"
"7201 00450000","R-10","R - Single Family/Cabin","100  JEFFERSON BLVD","Franklin",2007,"1991 or Later","2001-2010"
"7201 00460000","R-10","R - Single Family/Cabin","102  JEFFERSON BLVD","Franklin",2014,"1991 or Later","2011-2022"
"7201 00470000","R-10","R - Single Family/Cabin","104  JEFFERSON BLVD","Franklin",2007,"1991 or Later","2001-2010"
"7201 00480000","R-10","R - Single Family/Cabin","106  JEFFERSON BLVD","Franklin",2006,"1991 or Later","2001-2010"
"7201 00490000","R-10","R - Single Family/Cabin","108  JEFFERSON BLVD","Franklin",2005,"1991 or Later","2001-2010"
"7201 00500000","R-10","R - Single Family/Cabin","349  JOHN HANCOCK BLVD","Franklin",2005,"1991 or Later","2001-2010"
"7201 00510000","R-10","R - Single Family/Cabin","347  JOHN HANCOCK BLVD","Franklin",2006,"1991 or Later","2001-2010"
"7201 00520000","R-10","R - Single Family/Cabin","345  JOHN HANCOCK BLVD","Franklin",2015,"1991 or Later","2011-2022"
"7201 00530000","R-10","R - Single Family/Cabin","343  JOHN HANCOCK BLVD","Franklin",2014,"1991 or Later","2011-2022"
"7201 00540000","R-10","R - Single Family/Cabin","327  JOHN HANCOCK BLVD","Franklin",2006,"1991 or Later","2001-2010"
"7201 00550000","R-10","R - Single Family/Cabin","325  JOHN HANCOCK BLVD","Franklin",2007,"1991 or Later","2001-2010"
"7201 00560000","R-10","R - Single Family/Cabin","323  JOHN HANCOCK BLVD","Franklin",2013,"1991 or Later","2011-2022"
"7201 00570000","R-10","R - Single Family/Cabin","321  JOHN HANCOCK BLVD","Franklin",2005,"1991 or Later","2001-2010"
"7201 00580000","R-10","R - Single Family/Cabin","319  JOHN HANCOCK BLVD","Franklin",2015,"1991 or Later","2011-2022"
"7201 00590000","R-10","R - Single Family/Cabin","317  JOHN HANCOCK BLVD","Franklin",2007,"1991 or Later","2001-2010"
"7201 00600000","R-10","R - Single Family/Cabin","315  JOHN HANCOCK BLVD","Franklin",2015,"1991 or Later","2011-2022"
"7201 00610000","R-10","R - Single Family/Cabin","313  JOHN HANCOCK BLVD","Franklin",2005,"1991 or Later","2001-2010"
"7201 00620000","R-10","R - Single Family/Cabin","311  JOHN HANCOCK BLVD","Franklin",2006,"1991 or Later","2001-2010"
"7201 00630000","R-10","R - Single Family/Cabin","207  BETSY ROSS LN","Franklin",2014,"1991 or Later","2011-2022"
"7201 00640000","R-10","R - Single Family/Cabin","326  JOHN HANCOCK BLVD","Franklin",2013,"1991 or Later","2011-2022"
"7201 00650000","R-10","R - Single Family/Cabin","324  JOHN HANCOCK BLVD","Franklin",2006,"1991 or Later","2001-2010"
"7201 00660000","R-10","R - Single Family/Cabin","320  JOHN HANCOCK BLVD","Franklin",2007,"1991 or Later","2001-2010"
"7201 00670000","R-10","R - Single Family/Cabin","316  JOHN HANCOCK BLVD","Franklin",2005,"1991 or Later","2001-2010"
"7201 00680000","R-10","R - Single Family/Cabin","314  JOHN HANCOCK BLVD","Franklin",2005,"1991 or Later","2001-2010"
"7201 00690000","R-10","R - Single Family/Cabin","308  JOHN HANCOCK BLVD","Franklin",2013,"1991 or Later","2011-2022"
"7201 00700000","R-10","R - Single Family/Cabin","304  JOHN HANCOCK BLVD","Franklin",2007,"1991 or Later","2001-2010"
"7201 00710000","R-10","R - Single Family/Cabin","302  JOHN HANCOCK BLVD","Franklin",2005,"1991 or Later","2001-2010"
"7201 00720000","R-10","R - Single Family/Cabin","203  BETSY ROSS LN","Franklin",2012,"1991 or Later","2011-2022"
"7202 01220000","R-10","R - Single Family/Cabin","101  JANINE WAY","Franklin",2008,"1991 or Later","2001-2010"
"7202 01310000","R-10","R - Single Family/Cabin","140  JANINE WAY","Franklin",2010,"1991 or Later","2001-2010"
"7202 01470000","R-10","R - Single Family/Cabin","147  JANINE WAY","Franklin",2011,"1991 or Later","2011-2022"
"7202 01490000","R-10","R - Single Family/Cabin","151  JANINE WAY","Franklin",2009,"1991 or Later","2001-2010"
"7202 01500000","R-10","R - Single Family/Cabin","153  JANINE WAY","Franklin",2009,"1991 or Later","2001-2010"
"7202 01510000","R-10","R - Single Family/Cabin","155  JANINE WAY","Franklin",2009,"1991 or Later","2001-2010"
"7203 00140000","R-10","R - Single Family/Cabin","100  LAVENDER HILL LN","Franklin",2006,"1991 or Later","2001-2010"
"7203 00230000","R-10","R - Single Family/Cabin","526  AUBURN RD","Franklin",2007,"1991 or Later","2001-2010"
"7203 00230300","R-10","R - Single Family/Cabin","528  AUBURN RD","Franklin",2011,"1991 or Later","2011-2022"
"7203 00230400","R-10","R - Single Family/Cabin","305  HYATT LN","Franklin",2008,"1991 or Later","2001-2010"
"7203 00230500","R-10","R - Single Family/Cabin","303  HYATT LN","Franklin",2008,"1991 or Later","2001-2010"
"7203 00230700","R-10","R - Single Family/Cabin","302  HYATT LN","Franklin",2006,"1991 or Later","2001-2010"
"7203 00240200","R-10","R - Single Family/Cabin","211  THOREAU CRT","Franklin",2009,"1991 or Later","2001-2010"
"7203 00240300","R-10","R - Single Family/Cabin","209  THOREAU CRT","Franklin",2008,"1991 or Later","2001-2010"
"7203 00240400","R-10","R - Single Family/Cabin","207  THOREAU CRT","Franklin",2008,"1991 or Later","2001-2010"
"7203 00240500","R-10","R - Single Family/Cabin","205  THOREAU CRT","Franklin",2007,"1991 or Later","2001-2010"
"7203 00240600","R-10","R - Single Family/Cabin","203  THOREAU CRT","Franklin",2011,"1991 or Later","2011-2022"
"7203 00240700","R-10","R - Single Family/Cabin","201  THOREAU CRT","Franklin",2011,"1991 or Later","2011-2022"
"7203 00240800","R-10","R - Single Family/Cabin","129  LEOPOLD CRT","Franklin",2007,"1991 or Later","2001-2010"
"7203 00240900","R-10","R - Single Family/Cabin","127  LEOPOLD CRT","Franklin",2006,"1991 or Later","2001-2010"
"7203 00241000","R-10","R - Single Family/Cabin","125  LEOPOLD CRT","Franklin",2006,"1991 or Later","2001-2010"
"7203 00241100","R-10","R - Single Family/Cabin","123  LEOPOLD CRT","Franklin",2007,"1991 or Later","2001-2010"
"7203 00241200","R-10","R - Single Family/Cabin","121  LEOPOLD CRT","Franklin",2006,"1991 or Later","2001-2010"
"7203 00241300","R-10","R - Single Family/Cabin","119  LEOPOLD CRT","Franklin",2006,"1991 or Later","2001-2010"
"7203 00241400","R-10","R - Single Family/Cabin","117  LEOPOLD CRT","Franklin",2008,"1991 or Later","2001-2010"
"7203 00241500","R-10","R - Single Family/Cabin","115  LEOPOLD CRT","Franklin",2010,"1991 or Later","2001-2010"
"7203 00241600","R-10","R - Single Family/Cabin","113  LEOPOLD CRT","Franklin",2012,"1991 or Later","2011-2022"
"7203 00241700","R-10","R - Single Family/Cabin","111  LEOPOLD CRT","Franklin",2009,"1991 or Later","2001-2010"
"7203 00241800","R-10","R - Single Family/Cabin","109  LEOPOLD CRT","Franklin",2006,"1991 or Later","2001-2010"
"7203 00241900","R-10","R - Single Family/Cabin","107  LEOPOLD CRT","Franklin",2008,"1991 or Later","2001-2010"
"7203 00242000","R-10","R - Single Family/Cabin","105  LEOPOLD CRT","Franklin",2008,"1991 or Later","2001-2010"
"7203 00242200","R-10","R - Single Family/Cabin","101  LEOPOLD CRT","Franklin",2007,"1991 or Later","2001-2010"
"7203 00242300","R-10","R - Single Family/Cabin","100  LEOPOLD CRT","Franklin",2011,"1991 or Later","2011-2022"
"7203 00242400","R-10","R - Single Family/Cabin","104  LEOPOLD CRT","Franklin",2008,"1991 or Later","2001-2010"
"7203 00242500","R-10","R - Single Family/Cabin","108  LEOPOLD CRT","Franklin",2010,"1991 or Later","2001-2010"
"7203 00242600","R-10","R - Single Family/Cabin","112  LEOPOLD CRT","Franklin",2009,"1991 or Later","2001-2010"
"7203 00242700","R-10","R - Single Family/Cabin","114  LEOPOLD CRT","Franklin",2008,"1991 or Later","2001-2010"
"7203 00242800","R-10","R - Single Family/Cabin","204  THOREAU CRT","Franklin",2007,"1991 or Later","2001-2010"
"7203 00242900","R-10","R - Single Family/Cabin","206  THOREAU CRT","Franklin",2012,"1991 or Later","2011-2022"
"7203 00243000","R-10","R - Single Family/Cabin","212  THOREAU CRT","Franklin",2008,"1991 or Later","2001-2010"
"7203 00243100","R-10","R - Single Family/Cabin","214  THOREAU CRT","Franklin",2007,"1991 or Later","2001-2010"
"7203 01050000","R-10","R - Single Family/Cabin","121  CASTLEBAY LN","Franklin",2015,"1991 or Later","2011-2022"
"7203 01060000","R-10","R - Single Family/Cabin","123  CASTLEBAY LN","Franklin",2014,"1991 or Later","2011-2022"
"7203 01070000","R-10","R - Single Family/Cabin","125  CASTLEBAY LN","Franklin",2014,"1991 or Later","2011-2022"
"7203 01080000","R-10","R - Single Family/Cabin","127  CASTLEBAY LN","Franklin",2014,"1991 or Later","2011-2022"
"7203 01090000","R-10","R - Single Family/Cabin","128  CASTLEBAY LN","Franklin",2014,"1991 or Later","2011-2022"
"7203 01100000","R-10","R - Single Family/Cabin","126  CASTLEBAY LN","Franklin",2014,"1991 or Later","2011-2022"
"7203 01110000","R-10","R - Single Family/Cabin","201  DEVAN LN","Franklin",2014,"1991 or Later","2011-2022"
"7203 01120000","R-10","R - Single Family/Cabin","203  DEVAN LN","Franklin",2014,"1991 or Later","2011-2022"
"7203 01130000","R-10","R - Single Family/Cabin","205  DEVAN LN","Franklin",2014,"1991 or Later","2011-2022"
"7203 01140000","R-10","R - Single Family/Cabin","207  DEVAN LN","Franklin",2014,"1991 or Later","2011-2022"
"7203 01150000","R-10","R - Single Family/Cabin","208  DEVAN LN","Franklin",2014,"1991 or Later","2011-2022"
"7203 01160000","R-10","R - Single Family/Cabin","206  DEVAN LN","Franklin",2014,"1991 or Later","2011-2022"
"7203 01170000","R-10","R - Single Family/Cabin","204  DEVAN LN","Franklin",2014,"1991 or Later","2011-2022"
"7203 01180000","R-10","R - Single Family/Cabin","202  DEVAN LN","Franklin",2014,"1991 or Later","2011-2022"
"7203 01190000","R-10","R - Single Family/Cabin","200  DEVAN LN","Franklin",2014,"1991 or Later","2011-2022"
"7203 01200000","R-10","R - Single Family/Cabin","301  CATHERINE LN","Franklin",2015,"1991 or Later","2011-2022"
"7203 01210000","R-10","R - Single Family/Cabin","303  CATHERINE LN","Franklin",2015,"1991 or Later","2011-2022"
"7203 01220000","R-10","R - Single Family/Cabin","305  CATHERINE LN","Franklin",2016,"1991 or Later","2011-2022"
"7203 01230000","R-10","R - Single Family/Cabin","307  CATHERINE LN","Franklin",2016,"1991 or Later","2011-2022"
"7203 01240000","R-10","R - Single Family/Cabin","306  CATHERINE LN","Franklin",2016,"1991 or Later","2011-2022"
"7203 01250000","R-10","R - Single Family/Cabin","304  CATHERINE LN","Franklin",2015,"1991 or Later","2011-2022"
"7203 01260000","R-10","R - Single Family/Cabin","302  CATHERINE LN","Franklin",2015,"1991 or Later","2011-2022"
"7203 01270000","R-10","R - Single Family/Cabin","300  CATHERINE LN","Franklin",2015,"1991 or Later","2011-2022"
"7203 01280000","R-10","R - Single Family/Cabin","106  CASTLEBAY LN","Franklin",2015,"1991 or Later","2011-2022"
"7203 01290000","R-10","R - Single Family/Cabin","104  CASTLEBAY LN","Franklin",2015,"1991 or Later","2011-2022"
"7203 01300000","R-10","R - Single Family/Cabin","102  CASTLEBAY LN","Franklin",2016,"1991 or Later","2011-2022"
"7203 01410000","R-10","R - Single Family/Cabin","100  CASTLEBAY LN","Franklin",2015,"1991 or Later","2011-2022"
"7203 01420000","R-10","R - Single Family/Cabin","130  CASTLEBAY LN","Franklin",2014,"1991 or Later","2011-2022"
"7203 01430000","R-10","R - Single Family/Cabin","135  CASTLEBAY LN","Franklin",2015,"1991 or Later","2011-2022"
"7204 00690000","R-10","R - Single Family/Cabin","212  ARMITAGE CRT","Franklin",2006,"1991 or Later","2001-2010"
"7204H00070000","R-10","R - Single Family/Cabin","140  DEN RD","Franklin",1974,"Before 1991","1971-1980"
"7204H00090000","R-10","R - Single Family/Cabin","136  DEN RD","Franklin",1974,"Before 1991","1971-1980"
"7204H00250000","R-10","R - Single Family/Cabin","133  DEN RD","Franklin",1974,"Before 1991","1971-1980"
"7204H00280000","R-10","R - Single Family/Cabin","405  VIXEN PL","Franklin",1974,"Before 1991","1971-1980"
"7204H00420000","R-10","R - Single Family/Cabin","149  DEN RD","Franklin",1975,"Before 1991","1971-1980"
"7204L00010000","R-10","R - Single Family/Cabin","206  FOX RUN LN","Franklin",1984,"Before 1991","1981-1990"
"7204L00020000","R-10","R - Single Family/Cabin","208  FOX RUN LN","Franklin",1986,"Before 1991","1981-1990"
"7204L00030000","R-10","R - Single Family/Cabin","209  FOX RUN LN","Franklin",1984,"Before 1991","1981-1990"
"7204L00040100","R-10","R - Single Family/Cabin","205  FOX RUN LN","Franklin",1980,"Before 1991","1971-1980"
"7204L00050100","R-10","R - Single Family/Cabin","203  FOX RUN LN","Franklin",1978,"Before 1991","1971-1980"
"7204L00050200","R-10","R - Single Family/Cabin","300  RED FOX LN","Franklin",1977,"Before 1991","1971-1980"
"7204L00050300","R-10","R - Single Family/Cabin","302  RED FOX LN","Franklin",1978,"Before 1991","1971-1980"
"7204L00090000","R-10","R - Single Family/Cabin","106  CARRIAGE RUN RD","Franklin",1977,"Before 1991","1971-1980"
"7204L00100000","R-10","R - Single Family/Cabin","108  CARRIAGE RUN RD","Franklin",1979,"Before 1991","1971-1980"
"7204L00110000","R-10","R - Single Family/Cabin","110  CARRIAGE RUN RD","Franklin",1976,"Before 1991","1971-1980"
"7204L00120000","R-10","R - Single Family/Cabin","112  CARRIAGE RUN RD","Franklin",1975,"Before 1991","1971-1980"
"7204L00130000","R-10","R - Single Family/Cabin","114  CARRIAGE RUN RD","Franklin",1977,"Before 1991","1971-1980"
"7204L00140000","R-10","R - Single Family/Cabin","116  CARRIAGE RUN RD","Franklin",1975,"Before 1991","1971-1980"
"7204L00150000","R-10","R - Single Family/Cabin","118  CARRIAGE RUN RD","Franklin",2006,"1991 or Later","2001-2010"
"7204L00160000","R-10","R - Single Family/Cabin","12  CARRIAGE RUN RD","Franklin",1974,"Before 1991","1971-1980"
"7204L00170000","R-10","R - Single Family/Cabin","126  CARRIAGE RUN RD","Franklin",1987,"Before 1991","1981-1990"
"7204L00180000","R-10","R - Single Family/Cabin","128  CARRIAGE RUN RD","Franklin",1977,"Before 1991","1971-1980"
"7204L00190000","R-10","R - Single Family/Cabin","130  CARRIAGE RUN RD","Franklin",1974,"Before 1991","1971-1980"
"7204L00200000","R-10","R - Single Family/Cabin","132  CARRIAGE RUN RD","Franklin",1987,"Before 1991","1981-1990"
"7204L00220000","R-10","R - Single Family/Cabin","131  CARRIAGE RUN RD","Franklin",1987,"Before 1991","1981-1990"
"7204L00230000","R-10","R - Single Family/Cabin","117  CARRIAGE RUN RD","Franklin",1975,"Before 1991","1971-1980"
"7204L00240000","R-10","R - Single Family/Cabin","107  CARRIAGE RUN RD","Franklin",1989,"Before 1991","1981-1990"
"7204L00250000","R-10","R - Single Family/Cabin","105  CARRIAGE RUN RD","Franklin",1977,"Before 1991","1971-1980"
"7204L00270000","R-10","R - Single Family/Cabin","101  CARRIAGE RUN RD","Franklin",2002,"1991 or Later","2001-2010"
"7204M00110000","R-10","R - Single Family/Cabin","128  DEN RD","Franklin",1980,"Before 1991","1971-1980"
"7204M00120000","R-10","R - Single Family/Cabin","126  DEN RD","Franklin",1979,"Before 1991","1971-1980"
"7204M00130000","R-10","R - Single Family/Cabin","124  DEN RD","Franklin",1981,"Before 1991","1981-1990"
"7204M00150100","R-10","R - Single Family/Cabin","301  RED FOX LN","Franklin",1983,"Before 1991","1981-1990"
"7204M00150200","R-10","R - Single Family/Cabin","122  DEN RD","Franklin",1982,"Before 1991","1981-1990"
"7204M00150300","R-10","R - Single Family/Cabin","303  RED FOX LN","Franklin",1976,"Before 1991","1971-1980"
"7204M00170000","R-10","R - Single Family/Cabin","100  CARRIAGE RUN RD","Franklin",1987,"Before 1991","1981-1990"
"7205 00340300","R-10","R - Single Family/Cabin","102  LIBERTI LN","Franklin",1979,"Before 1991","1971-1980"
"7205 00340400","R-10","R - Single Family/Cabin","104  LIBERTI LN","Franklin",1978,"Before 1991","1971-1980"
"7205 00340500","R-10","R - Single Family/Cabin","106  LIBERTI LN","Franklin",1978,"Before 1991","1971-1980"
"7205 00340600","R-10","R - Single Family/Cabin","108  LIBERTI LN","Franklin",1979,"Before 1991","1971-1980"
"7205 00340700","R-10","R - Single Family/Cabin","110  LIBERTI LN","Franklin",1979,"Before 1991","1971-1980"
"7205 00340800","R-10","R - Single Family/Cabin","112  LIBERTI LN","Franklin",1987,"Before 1991","1981-1990"
"7205 00340900","R-10","R - Single Family/Cabin","114  LIBERTI LN","Franklin",2000,"1991 or Later","1991-2000"
"7205 00341000","R-10","R - Single Family/Cabin","116  LIBERTI LN","Franklin",1987,"Before 1991","1981-1990"
"7205 00341100","R-10","R - Single Family/Cabin","118  LIBERTI LN","Franklin",1979,"Before 1991","1971-1980"
"7205 00341200","R-10","R - Single Family/Cabin","120  LIBERTI LN","Franklin",2016,"1991 or Later","2011-2022"
"7205 00341300","R-10","R - Single Family/Cabin","119  LIBERTI LN","Franklin",1984,"Before 1991","1981-1990"
"7205 00341500","R-10","R - Single Family/Cabin","115  LIBERTI LN","Franklin",1985,"Before 1991","1981-1990"
"7205 00341600","R-10","R - Single Family/Cabin","113  LIBERTI LN","Franklin",1986,"Before 1991","1981-1990"
"7205 00341700","R-10","R - Single Family/Cabin","111  LIBERTI LN","Franklin",1987,"Before 1991","1981-1990"
"7205 00341800","R-10","R - Single Family/Cabin","109  LIBERTI LN","Franklin",1979,"Before 1991","1971-1980"
"7205 00341900","R-10","R - Single Family/Cabin","107  LIBERTI LN","Franklin",1981,"Before 1991","1981-1990"
"7205 00342000","R-10","R - Single Family/Cabin","105  LIBERTI LN","Franklin",1979,"Before 1991","1971-1980"
"7205 00342100","R-10","R - Single Family/Cabin","103  LIBERTI LN","Franklin",1979,"Before 1991","1971-1980"
"7205 00342200","R-10","R - Single Family/Cabin","101  LIBERTI LN","Franklin",1980,"Before 1991","1971-1980"
"7205 00342300","R-10","R - Single Family/Cabin","100  LIBERTI LN","Franklin",1982,"Before 1991","1981-1990"
"7207 01260000","R-10","R - Single Family/Cabin","576  ELBOW LN","Franklin",1999,"1991 or Later","1991-2000"
